Time,RK_4th y(t),True y(t):,(e^-t)*[(-27/85)*cos(3*t) - (11/85)*sin(3*t)] + (27/85)*cos(t) + (6/85)*sin(t)
8.95,-0.250256,-0.250255
9,-0.260331,-0.260331
9.05,-0.269757,-0.269756
9.1,-0.278509,-0.278508
9.15,-0.286565,-0.286565
9.2,-0.293906,-0.293906
9.25,-0.300513,-0.300513
9.3,-0.30637,-0.30637
9.35,-0.311462,-0.311461
9.4,-0.315776,-0.315775
9.45,-0.319301,-0.319301
9.5,-0.322029,-0.322028
9.55,-0.323952,-0.323952
9.6,-0.325066,-0.325066
9.65,-0.325368,-0.325368
9.7,-0.324857,-0.324856
9.75,-0.323534,-0.323534
9.8,-0.321402,-0.321402
9.85,-0.318468,-0.318468
9.9,-0.314737,-0.314737
9.95,-0.31022,-0.310219
