Distance,T(t = 1s),T(t = 2s),T(t = 3s),T(t = 4s),T(t = 5s),T(t = 6s),T(t = 7s),T(t = 8s),T(t = 9s),T(t = 10s),T(t = 11s),T(t = 12s),
0,50.7014,51.1973,51.5778,51.8891,52.156,52.3925,52.6069,52.8045,52.9888,53.1622,53.3265,53.4829,
2,50.0632,50.209,50.3853,50.5692,50.7511,50.9274,51.0968,51.2592,51.4151,51.5649,51.7092,51.8484,
4,50.0035,50.025,50.0681,50.1294,50.2044,50.2888,50.3796,50.4744,50.5717,50.6703,50.7694,50.8686,
6,50.0001,50.0022,50.0092,50.0231,50.0446,50.0737,50.1095,50.1514,50.1984,50.2498,50.305,50.3633,
8,50,50.0001,50.001,50.0034,50.0082,50.0161,50.0276,50.0431,50.0625,50.0861,50.1136,50.1449,
10,50,50,50.0002,50.0008,50.0024,50.0056,50.0111,50.0193,50.0307,50.0456,50.0642,50.0865,
