Max_Force_Wall0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,Max Force Wall,
0.6472,11.417,
0.6491,11.4634,
0.651,11.5102,
0.6529,11.5575,
0.6548,11.6053,
0.6567,11.6536,
0.6586,11.7025,
0.6605,11.7518,
0.6624,11.8017,
0.6643,11.8522,
0.6662,11.9031,
0.6681,11.9547,
0.67,12.0068,
0.6719,12.0594,
0.6738,12.1127,
0.6757,12.1665,
0.6776,12.2209,
0.6795,12.2759,
0.6814,12.3316,
0.6833,12.3878,
0.6852,12.4447,
0.6871,12.5023,
0.689,12.5605,
0.6909,12.6193,
0.6928,12.6789,
0.6947,12.7391,
0.6966,12.8,
0.6985,12.8616,
0.7004,12.9239,
0.7023,12.987,
0.7042,13.0507,
0.7061,13.1153,
0.708,13.1806,
0.7099,13.2466,
0.7118,13.3135,
0.7137,13.3811,
0.7156,13.4496,
0.7175,13.5189,
0.7194,13.589,
0.7213,13.66,
0.7232,13.7319,
0.7251,13.8046,
0.727,13.8782,
0.7289,13.9527,
0.7308,14.0282,
0.7327,14.1045,
0.7346,14.1819,
0.7365,14.2602,
0.7384,14.3395,
0.7403,14.4198,
0.7422,14.5011,
0.7441,14.5835,
0.746,14.6669,
0.7479,14.7514,
0.7498,14.837,
0.7517,14.9237,
0.7536,15.0115,
0.7555,15.1004,
0.7574,15.1906,
0.7593,15.2819,
0.7612,15.3745,
0.7631,15.4682,
0.765,15.5632,
0.7669,15.6595,
0.7688,15.7571,
0.7707,15.8561,
0.7726,15.9563,
0.7745,16.0579,
0.7764,16.161,
0.7783,16.2654,
0.7802,16.3713,
0.7821,16.4786,
0.784,16.5874,
0.7859,16.6978,
0.7878,16.8097,
0.7897,16.9232,
0.7916,17.0383,
0.7935,17.155,
0.7954,17.2733,
0.7973,17.3934,
0.7992,17.5152,
0.8011,17.6387,
0.803,17.764,
0.8049,17.8911,
0.8068,18.0201,
0.8087,18.151,
0.8106,18.2837,
0.8125,18.4184,
0.8144,18.5551,
0.8163,18.6938,
0.8182,18.8346,
0.8201,18.9774,
0.822,19.1224,
0.8239,19.2695,
0.8258,19.4188,
0.8277,19.5703,
0.8296,19.7241,
0.8315,19.8802,
0.8334,20.0387,
0.8353,20.1995,
0.8372,20.3628,
0.8391,20.5285,
0.841,20.6967,
0.8429,20.8674,
0.8448,21.0407,
0.8467,21.2167,
0.8486,21.3952,
0.8505,21.5765,
0.8524,21.7605,
0.8543,21.9472,
0.8562,22.1367,
0.8581,22.3291,
0.86,22.5243,
0.8619,22.7224,
0.8638,22.9234,
0.8657,23.1274,
0.8676,23.3344,
0.8695,23.5443,
0.8714,23.7573,
0.8733,23.9734,
0.8752,24.1925,
0.8771,24.4146,
0.879,24.6399,
0.8809,24.8683,
0.8828,25.0997,
0.8847,25.3343,
0.8866,25.572,
0.8885,25.8127,
0.8904,26.0565,
0.8923,26.3033,
0.8942,26.5531,
0.8961,26.8059,
0.898,27.0616,
0.8999,27.3202,
0.9018,27.5815,
0.9037,27.8455,
0.9056,28.1122,
0.9075,28.3813,
0.9094,28.6529,
0.9113,28.9267,
0.9132,29.2027,
0.9151,29.4806,
0.917,29.7604,
0.9189,30.0417,
0.9208,30.3244,
0.9227,30.6083,
0.9246,30.8931,
0.9265,31.1786,
0.9284,31.4644,
0.9303,31.7502,
0.9322,32.0358,
0.9341,32.3206,
0.936,32.6045,
0.9379,32.8869,
0.9398,33.1674,
0.9417,33.4456,
0.9436,33.721,
0.9455,33.993,
0.9474,34.2613,
0.9493,34.5251,
0.9512,34.7839,
0.9531,35.0373,
0.955,35.2844,
0.9569,35.5248,
0.9588,35.7579,
0.9607,35.9828,
0.9626,36.1991,
0.9645,36.4061,
0.9664,36.6031,
0.9683,36.7895,
0.9702,36.9646,
0.9721,37.1279,
0.974,37.2788,
0.9759,37.4166,
0.9778,37.5408,
0.9797,37.651,
0.9816,37.7467,
0.9835,37.8274,
0.9854,37.8928,
0.9873,37.9425,
0.9892,37.9763,
0.9911,37.994,
0.993,37.9954,
0.9949,37.9804,
0.9968,37.9491,
0.9987,37.9014,
1.0006,37.8375,
1.0025,37.7574,
1.0044,37.6616,
