Phase_Angle0.csv,


mass: 10,k1: 1,k2: 2,c1: 0,c2: 1,amp: 10,


r,phi,
0.5655,-0.00301263,
0.5674,-0.00254981,
0.5693,-0.00207942,
0.5712,-0.00160135,
0.5731,-0.0011155,
0.575,-0.000621779,
0.5769,-0.000120076,
0.5788,0.00038971,
0.5807,0.000907686,
0.5826,0.00143396,
0.5845,0.00196864,
0.5864,0.00251184,
0.5883,0.00306368,
0.5902,0.00362426,
0.5921,0.0041937,
0.594,0.00477214,
0.5959,0.00535968,
0.5978,0.00595645,
0.5997,0.00656257,
0.6016,0.00717819,
0.6035,0.00780341,
0.6054,0.00843838,
0.6073,0.00908324,
0.6092,0.00973811,
0.6111,0.0104031,
0.613,0.0110785,
0.6149,0.0117643,
0.6168,0.0124606,
0.6187,0.0131678,
0.6206,0.0138858,
0.6225,0.0146148,
0.6244,0.0153551,
0.6263,0.0161068,
0.6282,0.01687,
0.6301,0.0176449,
0.632,0.0184316,
0.6339,0.0192305,
0.6358,0.0200415,
0.6377,0.020865,
0.6396,0.021701,
0.6415,0.0225498,
0.6434,0.0234116,
0.6453,0.0242866,
0.6472,0.0251749,
0.6491,0.0260768,
0.651,0.0269924,
0.6529,0.0279221,
0.6548,0.0288659,
0.6567,0.0298242,
0.6586,0.0307971,
0.6605,0.0317848,
0.6624,0.0327877,
0.6643,0.0338059,
0.6662,0.0348397,
0.6681,0.0358893,
0.67,0.036955,
0.6719,0.038037,
0.6738,0.0391356,
0.6757,0.0402511,
0.6776,0.0413837,
0.6795,0.0425337,
0.6814,0.0437014,
0.6833,0.0448871,
0.6852,0.0460911,
0.6871,0.0473137,
0.689,0.0485552,
0.6909,0.0498159,
0.6928,0.0510961,
0.6947,0.0523963,
0.6966,0.0537166,
0.6985,0.0550575,
0.7004,0.0564192,
0.7023,0.0578023,
0.7042,0.0592069,
0.7061,0.0606336,
0.708,0.0620827,
0.7099,0.0635546,
0.7118,0.0650496,
0.7137,0.0665683,
0.7156,0.0681109,
0.7175,0.069678,
0.7194,0.07127,
0.7213,0.0728874,
0.7232,0.0745305,
0.7251,0.0761999,
0.727,0.0778961,
0.7289,0.0796195,
0.7308,0.0813707,
0.7327,0.0831501,
0.7346,0.0849583,
0.7365,0.0867959,
0.7384,0.0886634,
0.7403,0.0905613,
0.7422,0.0924903,
0.7441,0.0944509,
0.746,0.0964437,
0.7479,0.0984695,
0.7498,0.100529,
0.7517,0.102622,
0.7536,0.10475,
0.7555,0.106914,
0.7574,0.109114,
0.7593,0.111351,
0.7612,0.113626,
0.7631,0.115939,
0.765,0.118292,
0.7669,0.120684,
0.7688,0.123118,
0.7707,0.125593,
0.7726,0.128111,
0.7745,0.130672,
0.7764,0.133278,
0.7783,0.135929,
0.7802,0.138626,
0.7821,0.14137,
0.784,0.144163,
0.7859,0.147005,
0.7878,0.149898,
0.7897,0.152842,
0.7916,0.155838,
0.7935,0.158889,
0.7954,0.161994,
0.7973,0.165155,
0.7992,0.168374,
0.8011,0.171652,
0.803,0.174989,
0.8049,0.178388,
0.8068,0.181849,
0.8087,0.185375,
0.8106,0.188966,
0.8125,0.192625,
0.8144,0.196352,
0.8163,0.200149,
0.8182,0.204019,
0.8201,0.207962,
0.822,0.21198,
0.8239,0.216075,
0.8258,0.22025,
0.8277,0.224505,
0.8296,0.228843,
0.8315,0.233265,
0.8334,0.237775,
0.8353,0.242373,
0.8372,0.247062,
0.8391,0.251844,
0.841,0.256722,
0.8429,0.261698,
0.8448,0.266774,
0.8467,0.271952,
0.8486,0.277236,
0.8505,0.282627,
0.8524,0.288129,
0.8543,0.293744,
0.8562,0.299475,
0.8581,0.305325,
0.86,0.311296,
0.8619,0.317393,
0.8638,0.323617,
0.8657,0.329973,
0.8676,0.336462,
0.8695,0.34309,
0.8714,0.349859,
0.8733,0.356772,
0.8752,0.363834,
0.8771,0.371047,
0.879,0.378416,
0.8809,0.385944,
0.8828,0.393636,
0.8847,0.401495,
0.8866,0.409525,
0.8885,0.41773,
0.8904,0.426115,
0.8923,0.434684,
0.8942,0.44344,
0.8961,0.452389,
0.898,0.461535,
0.8999,0.470882,
0.9018,0.480435,
0.9037,0.490197,
0.9056,0.500175,
0.9075,0.510371,
0.9094,0.520792,
0.9113,0.53144,
0.9132,0.542321,
0.9151,0.553439,
0.917,0.564798,
0.9189,0.576403,
0.9208,0.588257,
0.9227,0.600365,
0.9246,0.612731,
0.9265,0.625357,
0.9284,0.638249,
0.9303,0.651408,
0.9322,0.664838,
0.9341,0.678542,
0.936,0.692522,
0.9379,0.706779,
0.9398,0.721316,
0.9417,0.736134,
0.9436,0.751232,
0.9455,0.766613,
0.9474,0.782274,
0.9493,0.798214,
0.9512,0.814433,
0.9531,0.830928,
0.955,0.847696,
0.9569,0.864733,
0.9588,0.882034,
0.9607,0.899595,
0.9626,0.917408,
0.9645,0.935467,
0.9664,0.953764,
0.9683,0.972291,
0.9702,0.991036,
0.9721,1.00999,
0.974,1.02914,
0.9759,1.04848,
0.9778,1.06799,
0.9797,1.08766,
0.9816,1.10747,
0.9835,1.12741,
0.9854,1.14747,
0.9873,1.16762,
0.9892,1.18784,
0.9911,1.20814,
0.993,1.22847,
0.9949,1.24884,
0.9968,1.26921,
0.9987,1.28957,
1.0006,1.30991,
1.0025,1.3302,
1.0044,1.35043,
1.0063,1.37057,
1.0082,1.39062,
1.0101,1.41056,
1.012,1.43037,
1.0139,1.45004,
1.0158,1.46954,
1.0177,1.48888,
1.0196,1.50803,
1.0215,1.52698,
1.0234,1.54572,
1.0253,1.56424,
1.0272,-1.55906,
1.0291,-1.54101,
1.031,-1.5232,
1.0329,-1.50564,
1.0348,-1.48835,
1.0367,-1.47132,
1.0386,-1.45455,
1.0405,-1.43806,
1.0424,-1.42185,
1.0443,-1.40591,
1.0462,-1.39026,
1.0481,-1.37488,
1.05,-1.35979,
1.0519,-1.34498,
1.0538,-1.33045,
1.0557,-1.31619,
1.0576,-1.30222,
1.0595,-1.28852,
1.0614,-1.27509,
1.0633,-1.26194,
1.0652,-1.24905,
1.0671,-1.23643,
1.069,-1.22406,
1.0709,-1.21196,
1.0728,-1.20011,
1.0747,-1.18851,
1.0766,-1.17715,
1.0785,-1.16603,
1.0804,-1.15516,
1.0823,-1.14451,
1.0842,-1.13409,
1.0861,-1.1239,
1.088,-1.11392,
1.0899,-1.10416,
1.0918,-1.09461,
1.0937,-1.08526,
1.0956,-1.07612,
1.0975,-1.06717,
1.0994,-1.05841,
1.1013,-1.04984,
1.1032,-1.04146,
1.1051,-1.03325,
1.107,-1.02522,
1.1089,-1.01736,
1.1108,-1.00967,
1.1127,-1.00214,
1.1146,-0.994771,
1.1165,-0.987556,
1.1184,-0.980493,
1.1203,-0.973578,
1.1222,-0.966807,
1.1241,-0.960177,
1.126,-0.953685,
1.1279,-0.947327,
1.1298,-0.9411,
1.1317,-0.935001,
1.1336,-0.929026,
1.1355,-0.923173,
1.1374,-0.917439,
1.1393,-0.91182,
1.1412,-0.906315,
1.1431,-0.900919,
1.145,-0.895632,
1.1469,-0.890449,
1.1488,-0.885369,
1.1507,-0.880389,
1.1526,-0.875507,
1.1545,-0.87072,
1.1564,-0.866026,
1.1583,-0.861423,
1.1602,-0.856908,
1.1621,-0.85248,
1.164,-0.848137,
1.1659,-0.843877,
1.1678,-0.839697,
1.1697,-0.835595,
1.1716,-0.831571,
1.1735,-0.827622,
1.1754,-0.823747,
1.1773,-0.819943,
1.1792,-0.816209,
1.1811,-0.812544,
1.183,-0.808947,
1.1849,-0.805414,
1.1868,-0.801946,
1.1887,-0.79854,
1.1906,-0.795195,
1.1925,-0.791911,
1.1944,-0.788685,
1.1963,-0.785516,
1.1982,-0.782403,
1.2001,-0.779345,
1.202,-0.776341,
1.2039,-0.773389,
1.2058,-0.770489,
1.2077,-0.767638,
1.2096,-0.764837,
1.2115,-0.762085,
1.2134,-0.759379,
1.2153,-0.75672,
1.2172,-0.754105,
1.2191,-0.751536,
1.221,-0.749009,
1.2229,-0.746525,
1.2248,-0.744083,
1.2267,-0.741681,
1.2286,-0.739319,
1.2305,-0.736997,
1.2324,-0.734713,
1.2343,-0.732466,
1.2362,-0.730257,
1.2381,-0.728083,
1.24,-0.725945,
1.2419,-0.723842,
1.2438,-0.721773,
1.2457,-0.719737,
1.2476,-0.717735,
1.2495,-0.715764,
1.2514,-0.713825,
1.2533,-0.711917,
1.2552,-0.710039,
1.2571,-0.708191,
1.259,-0.706372,
1.2609,-0.704582,
1.2628,-0.70282,
1.2647,-0.701086,
1.2666,-0.699379,
1.2685,-0.697699,
1.2704,-0.696045,
1.2723,-0.694416,
1.2742,-0.692813,
1.2761,-0.691235,
1.278,-0.689681,
1.2799,-0.688151,
1.2818,-0.686644,
1.2837,-0.685161,
1.2856,-0.6837,
1.2875,-0.682262,
1.2894,-0.680846,
1.2913,-0.679451,
1.2932,-0.678077,
1.2951,-0.676725,
1.297,-0.675392,
1.2989,-0.67408,
1.3008,-0.672788,
1.3027,-0.671515,
1.3046,-0.670261,
1.3065,-0.669026,
1.3084,-0.66781,
1.3103,-0.666612,
1.3122,-0.665432,
1.3141,-0.664269,
1.316,-0.663124,
1.3179,-0.661996,
1.3198,-0.660884,
1.3217,-0.65979,
1.3236,-0.658711,
1.3255,-0.657648,
1.3274,-0.656602,
1.3293,-0.655571,
1.3312,-0.654555,
1.3331,-0.653554,
1.335,-0.652568,
1.3369,-0.651596,
1.3388,-0.650639,
1.3407,-0.649696,
1.3426,-0.648767,
1.3445,-0.647852,
1.3464,-0.64695,
1.3483,-0.646061,
1.3502,-0.645186,
1.3521,-0.644323,
1.354,-0.643474,
1.3559,-0.642636,
1.3578,-0.641812,
1.3597,-0.640999,
1.3616,-0.640198,
1.3635,-0.639409,
1.3654,-0.638632,
1.3673,-0.637867,
1.3692,-0.637112,
1.3711,-0.636369,
1.373,-0.635637,
1.3749,-0.634916,
1.3768,-0.634205,
1.3787,-0.633505,
1.3806,-0.632815,
1.3825,-0.632136,
1.3844,-0.631467,
1.3863,-0.630807,
1.3882,-0.630158,
1.3901,-0.629518,
1.392,-0.628888,
1.3939,-0.628267,
1.3958,-0.627656,
1.3977,-0.627054,
1.3996,-0.626461,
1.4015,-0.625876,
1.4034,-0.625301,
1.4053,-0.624734,
1.4072,-0.624176,
1.4091,-0.623627,
1.411,-0.623086,
1.4129,-0.622553,
1.4148,-0.622028,
1.4167,-0.621511,
1.4186,-0.621003,
1.4205,-0.620502,
1.4224,-0.620009,
1.4243,-0.619523,
1.4262,-0.619045,
1.4281,-0.618575,
1.43,-0.618112,
1.4319,-0.617656,
1.4338,-0.617207,
1.4357,-0.616766,
1.4376,-0.616331,
1.4395,-0.615904,
1.4414,-0.615483,
1.4433,-0.615069,
1.4452,-0.614662,
1.4471,-0.614261,
1.449,-0.613866,
1.4509,-0.613479,
1.4528,-0.613097,
1.4547,-0.612722,
1.4566,-0.612353,
1.4585,-0.61199,
1.4604,-0.611633,
1.4623,-0.611282,
1.4642,-0.610937,
1.4661,-0.610598,
1.468,-0.610265,
1.4699,-0.609937,
1.4718,-0.609615,
1.4737,-0.609298,
1.4756,-0.608987,
1.4775,-0.608682,
1.4794,-0.608382,
1.4813,-0.608087,
1.4832,-0.607797,
1.4851,-0.607513,
1.487,-0.607234,
1.4889,-0.606959,
1.4908,-0.60669,
1.4927,-0.606426,
1.4946,-0.606167,
1.4965,-0.605912,
1.4984,-0.605663,
1.5003,-0.605418,
1.5022,-0.605178,
1.5041,-0.604942,
1.506,-0.604711,
1.5079,-0.604485,
1.5098,-0.604263,
1.5117,-0.604045,
1.5136,-0.603832,
1.5155,-0.603623,
1.5174,-0.603419,
1.5193,-0.603219,
1.5212,-0.603023,
1.5231,-0.602831,
1.525,-0.602643,
1.5269,-0.602459,
1.5288,-0.60228,
1.5307,-0.602104,
1.5326,-0.601932,
1.5345,-0.601765,
1.5364,-0.601601,
1.5383,-0.601441,
1.5402,-0.601284,
1.5421,-0.601132,
1.544,-0.600983,
1.5459,-0.600838,
1.5478,-0.600696,
1.5497,-0.600558,
1.5516,-0.600423,
1.5535,-0.600292,
1.5554,-0.600165,
1.5573,-0.600041,
1.5592,-0.59992,
1.5611,-0.599803,
1.563,-0.599689,
1.5649,-0.599579,
1.5668,-0.599471,
1.5687,-0.599367,
1.5706,-0.599266,
1.5725,-0.599169,
1.5744,-0.599074,
1.5763,-0.598983,
1.5782,-0.598894,
1.5801,-0.598809,
1.582,-0.598727,
1.5839,-0.598647,
1.5858,-0.598571,
1.5877,-0.598497,
1.5896,-0.598427,
1.5915,-0.598359,
1.5934,-0.598295,
1.5953,-0.598233,
1.5972,-0.598173,
1.5991,-0.598117,
1.601,-0.598063,
1.6029,-0.598012,
1.6048,-0.597964,
1.6067,-0.597919,
1.6086,-0.597876,
1.6105,-0.597835,
1.6124,-0.597797,
1.6143,-0.597762,
1.6162,-0.59773,
1.6181,-0.597699,
1.62,-0.597672,
1.6219,-0.597647,
1.6238,-0.597624,
1.6257,-0.597603,
1.6276,-0.597586,
1.6295,-0.59757,
1.6314,-0.597557,
1.6333,-0.597546,
1.6352,-0.597537,
1.6371,-0.597531,
1.639,-0.597527,
1.6409,-0.597525,
1.6428,-0.597526,
1.6447,-0.597528,
1.6466,-0.597533,
1.6485,-0.59754,
1.6504,-0.59755,
1.6523,-0.597561,
1.6542,-0.597574,
1.6561,-0.59759,
1.658,-0.597607,
1.6599,-0.597627,
1.6618,-0.597649,
1.6637,-0.597672,
1.6656,-0.597698,
1.6675,-0.597726,
1.6694,-0.597755,
1.6713,-0.597787,
1.6732,-0.59782,
1.6751,-0.597856,
1.677,-0.597893,
1.6789,-0.597932,
1.6808,-0.597973,
1.6827,-0.598016,
1.6846,-0.598061,
1.6865,-0.598107,
1.6884,-0.598156,
1.6903,-0.598206,
1.6922,-0.598258,
1.6941,-0.598311,
1.696,-0.598367,
1.6979,-0.598424,
1.6998,-0.598483,
1.7017,-0.598543,
1.7036,-0.598605,
1.7055,-0.598669,
1.7074,-0.598734,
1.7093,-0.598801,
1.7112,-0.59887,
1.7131,-0.59894,
1.715,-0.599012,
1.7169,-0.599086,
1.7188,-0.599161,
1.7207,-0.599238,
1.7226,-0.599316,
1.7245,-0.599395,
1.7264,-0.599476,
1.7283,-0.599559,
1.7302,-0.599643,
1.7321,-0.599729,
1.734,-0.599816,
1.7359,-0.599905,
1.7378,-0.599995,
1.7397,-0.600086,
1.7416,-0.600179,
1.7435,-0.600273,
1.7454,-0.600369,
1.7473,-0.600466,
1.7492,-0.600564,
1.7511,-0.600664,
1.753,-0.600765,
1.7549,-0.600867,
1.7568,-0.600971,
1.7587,-0.601076,
1.7606,-0.601182,
1.7625,-0.60129,
1.7644,-0.601399,
1.7663,-0.601509,
1.7682,-0.601621,
1.7701,-0.601733,
1.772,-0.601847,
1.7739,-0.601963,
1.7758,-0.602079,
1.7777,-0.602197,
1.7796,-0.602315,
1.7815,-0.602435,
1.7834,-0.602557,
1.7853,-0.602679,
1.7872,-0.602802,
1.7891,-0.602927,
1.791,-0.603053,
1.7929,-0.60318,
1.7948,-0.603308,
1.7967,-0.603437,
1.7986,-0.603567,
1.8005,-0.603699,
1.8024,-0.603831,
1.8043,-0.603965,
1.8062,-0.6041,
1.8081,-0.604235,
1.81,-0.604372,
1.8119,-0.60451,
1.8138,-0.604649,
1.8157,-0.604789,
1.8176,-0.604929,
1.8195,-0.605071,
1.8214,-0.605214,
1.8233,-0.605358,
1.8252,-0.605503,
1.8271,-0.605649,
1.829,-0.605796,
1.8309,-0.605944,
1.8328,-0.606093,
1.8347,-0.606242,
1.8366,-0.606393,
1.8385,-0.606545,
1.8404,-0.606697,
1.8423,-0.606851,
1.8442,-0.607005,
1.8461,-0.607161,
1.848,-0.607317,
1.8499,-0.607474,
1.8518,-0.607632,
1.8537,-0.607791,
1.8556,-0.607951,
1.8575,-0.608111,
1.8594,-0.608273,
1.8613,-0.608435,
1.8632,-0.608598,
1.8651,-0.608762,
1.867,-0.608927,
1.8689,-0.609093,
1.8708,-0.60926,
1.8727,-0.609427,
1.8746,-0.609595,
1.8765,-0.609764,
1.8784,-0.609934,
1.8803,-0.610104,
1.8822,-0.610276,
1.8841,-0.610448,
1.886,-0.610621,
1.8879,-0.610794,
1.8898,-0.610969,
1.8917,-0.611144,
1.8936,-0.61132,
1.8955,-0.611497,
1.8974,-0.611674,
1.8993,-0.611852,
1.9012,-0.612031,
1.9031,-0.612211,
1.905,-0.612391,
1.9069,-0.612572,
1.9088,-0.612754,
1.9107,-0.612936,
1.9126,-0.613119,
1.9145,-0.613303,
1.9164,-0.613488,
1.9183,-0.613673,
1.9202,-0.613859,
1.9221,-0.614045,
1.924,-0.614233,
1.9259,-0.614421,
1.9278,-0.614609,
1.9297,-0.614798,
1.9316,-0.614988,
1.9335,-0.615179,
1.9354,-0.61537,
1.9373,-0.615561,
1.9392,-0.615754,
1.9411,-0.615947,
1.943,-0.61614,
1.9449,-0.616334,
1.9468,-0.616529,
1.9487,-0.616725,
1.9506,-0.616921,
1.9525,-0.617117,
1.9544,-0.617315,
1.9563,-0.617512,
1.9582,-0.617711,
1.9601,-0.61791,
1.962,-0.618109,
1.9639,-0.618309,
1.9658,-0.61851,
1.9677,-0.618711,
1.9696,-0.618913,
1.9715,-0.619115,
1.9734,-0.619318,
1.9753,-0.619521,
1.9772,-0.619725,
1.9791,-0.61993,
1.981,-0.620135,
1.9829,-0.62034,
1.9848,-0.620546,
1.9867,-0.620753,
1.9886,-0.62096,
1.9905,-0.621168,
1.9924,-0.621376,
1.9943,-0.621585,
1.9962,-0.621794,
1.9981,-0.622003,
2,-0.622213,
